RL;Jugador;País;Posc;Equipo;Edad;Nacimiento;PJ;Titular;Mín;90 s;Gls.;Ass;G-TP;TP;TPint;TA;TR;Gls.;Ast;G+A;G-TP;G+A-TP;Dis;DaP;% de TT;T/90;TalArc/90;G/T;G/TalArc;Dist;FK;TP;TPint;TA;TR;2a amarilla;Fls;FR;PA;Pcz;Int;TklG;Penal ejecutado;Penal concedido;GC;Recup.;Ganados;Perdidos;% de ganados
1;Sabit Abdulai;GHA;CC;Getafe;21;1999;1;0;6;0.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0.0
2;Marcos Acuña;ARG;DF;Sevilla;29;1991;22;19;1668;18.5;1;1;1;0;0;2;0;0.05;0.05;0.11;0.05;0.11;13;2;15.4;0.70;0.11;0.08;0.50;20.6;0;0;0;2;0;0;32;18;1;48;22;33;0;1;0;167;14;23;37.8
3;Bobby Adekanye;NED;DL,CC;Cádiz;22;1999;3;0;36;0.4;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;2.50;0.00;0.00;;17.5;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;4;0;0;
4;Martin Agirregabiria;ESP;DF,CC;Alavés;24;1996;18;10;969;10.8;0;1;0;0;0;1;0;0.00;0.09;0.09;0.00;0.09;2;0;0.0;0.19;0.00;0.00;;14.3;0;0;0;1;0;0;15;14;1;16;25;9;0;0;0;62;11;18;37.9
5;Joseph Aidoo;GHA;DF;Celta Vigo;25;1995;20;10;951;10.6;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;5;0;0.0;0.47;0.00;0.00;;17.6;0;0;0;3;0;0;12;11;1;1;9;13;0;0;0;117;34;32;51.5
6;Carlos Akapo;EQG;DF;Cádiz;28;1993;7;5;441;4.9;0;0;0;0;0;2;1;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;2;1;1;5;1;0;9;5;9;0;0;0;51;11;4;73.3
7;Paul Akouokou;CIV;CC;Betis;23;1997;9;4;374;4.2;0;0;0;0;0;5;1;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;5;1;1;11;2;0;2;6;8;0;0;0;36;8;8;50.0
8;Jony Álamo;ESP;CC;Elche;19;2001;1;1;73;0.8;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;1.23;0.00;0.00;;26.0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;7;0;1;0.0
9;Jordi Alba;ESP;DF;Barcelona;32;1989;26;26;2260;25.1;3;4;3;0;0;7;0;0.12;0.16;0.28;0.12;0.28;20;11;55.0;0.80;0.44;0.15;0.27;20.3;1;0;0;7;0;0;16;12;7;79;32;19;0;0;1;227;3;12;20.0
10;Raúl Albiol;ESP;DF;Villarreal;35;1985;28;28;2500;27.8;0;0;0;0;0;6;0;0.00;0.00;0.00;0.00;0.00;7;1;14.3;0.25;0.04;0.00;0.00;14.5;0;0;0;6;0;0;11;16;1;3;19;15;0;1;0;244;50;42;54.3
11;Paco Alcácer;ESP;DL;Villarreal;27;1993;19;14;1124;12.5;5;3;4;1;2;0;0;0.40;0.24;0.64;0.32;0.56;29;12;41.4;2.32;0.96;0.14;0.33;14.0;3;1;2;0;0;0;6;7;14;3;6;3;0;0;0;29;7;30;18.9
12;Pedro Alcalá;ESP;DF;Cádiz;32;1989;10;6;723;8.0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;0.12;0.00;0.00;;9.0;0;0;0;2;0;0;12;5;1;0;17;7;0;0;1;42;15;14;51.7
13;Rubén Alcaraz;ESP;CC;Valladolid;29;1991;23;19;1689;18.8;1;0;1;0;0;7;0;0.05;0.00;0.05;0.05;0.05;20;2;10.0;1.07;0.11;0.05;0.50;24.6;2;0;0;7;0;0;35;26;0;4;20;29;0;0;0;228;44;49;47.3
14;Iván Alejo;ESP;CC,DL;Cádiz;26;1995;15;2;426;4.7;1;1;1;0;0;3;0;0.21;0.21;0.42;0.21;0.42;9;3;33.3;1.90;0.63;0.11;0.33;17.4;0;0;0;3;0;0;15;13;3;25;1;5;0;0;0;32;11;5;68.8
